growth,FIPS,pop2010,pop2000,age_under_5,age_under_18,age_over_65,female,black,hispanic,white_not_hispanic,no_move_in_one_plus_year,foreign_born,foreign_spoken_at_home,hs_grad,bachelors,mean_work_travel,home_ownership,housing_multi_unit,median_val_owner_occupied,persons_per_household,per_capita_income,poverty,sales_per_capita,density
-0.314776274713835,1053,38319,38440,6.2,22.6,15.2,48.4,31.9,1.9,61.3,88.4,1.1,1.6,73,10.9,24.6,73.5,7.8,83800,2.51,16259,24.4,10089,40.5
0.938536038430682,1055,104430,103459,5.9,23,15.8,51.5,15.1,3.3,79.3,83.4,2.3,3,81.2,15.8,23.6,73,11.9,98200,2.46,20439,16.8,10801,195.2
-6.78021086780211,1057,17241,18495,5.8,22.3,17.9,50.7,11.4,1.2,86,87.2,0.5,1.4,74.7,9.5,27.2,76,7.9,71500,2.39,17711,17.9,7433,27.5
1.54053101880025,1059,31704,31223,7.1,24.8,15.2,50.1,3.9,14.9,79.6,84.6,7.9,11.6,69.6,11.8,24.4,69.2,10.4,78200,2.49,18094,19.5,8786,50
3.98230088495575,1061,26790,25764,5.9,22.4,17.4,51.1,9.5,3.4,84.7,84.5,1.6,3,72.3,8,26.1,71.6,6.6,77200,2.44,18351,16.3,6612,46.6
-9.31421696410668,1063,9045,9974,6.1,24.3,16.1,52.8,81.5,0.8,17.3,88.4,0.9,1.3,72.6,9.9,25.1,71.1,11.1,71500,2.57,14738,30.8,3697,14
-8.2921152167588,1065,15760,17185,6.1,24.8,15,52.6,59,0.9,39.4,88.7,0.9,1.8,69.9,10,28,74.3,6.1,70600,2.76,16523,24.6,4794,24.5
6.08215818516247,1067,17302,16310,5.4,22.6,17.6,52,28.6,2.2,67.8,92.9,2.5,3.4,76.1,15,23.3,81.9,3.2,89700,2.56,19716,15.1,5559,30.8
14.3714733012716,1069,101547,88787,6.6,24.5,14.5,52,25.8,2.9,68.7,85.8,2.2,4.1,81.9,19,19.7,67.4,15.2,116300,2.57,22725,16.8,19608,175.1
-1.29622074694953,1071,53227,53926,5.6,22.5,16.5,50.9,3.3,2.5,90.1,89.8,1.5,2.9,74,12,26.2,76.6,5.8,86300,2.51,18905,17.5,7784,49.4
-0.540898153756453,1073,658466,662047,6.7,23.5,13.1,52.6,42,3.9,51.7,83,4.1,5.7,86.6,28.8,23.3,66.8,24,138300,2.47,26529,15.5,16730,592.5
-8.42555331991952,1075,14564,15904,5.9,22.2,18.8,51.3,11.3,1.2,86.1,88.3,0.2,1,75.3,9.2,25.5,75.1,9,68200,2.43,19789,18.5,4887,24.1
5.39185594434213,1077,92709,87966,5.6,21.6,16.8,52.1,10,2.2,85.5,84.9,1.8,2.8,82.9,21.5,23.5,73,14.7,107400,2.38,22341,17.7,12783,138.8
-1.33321840071258,1079,34339,34803,6.3,23.2,14.6,51.1,11.5,1.7,76.9,90.2,1.7,2.1,75.2,10.7,26.1,78.7,5.1,97600,2.54,19370,13.6,4889,49.7
21.8564279011573,1081,140247,115092,6.2,22.5,9.1,50.7,22.7,3.3,69.8,76.4,4.9,6.6,85.2,30.9,20.3,64.2,23.3,139500,2.41,22794,19.2,11099,230.8
26.0460442170656,1083,82782,65676,6.5,24,12.3,49.4,12.6,5.5,78.7,85.8,3.5,5.7,80.4,20.8,25,77.1,9.4,122300,2.52,24007,13.5,9785,147.8
-16.1359756550137,1085,11299,13473,6.6,24.2,14.6,53.2,73.5,0.8,25.1,91.4,0.3,0.8,73.4,12.7,35.4,75.4,7,64000,2.76,16524,27.3,8184,15.8
-11.0060153495126,1087,21452,24105,5.4,20.6,14.1,54.2,82.6,1.1,15.2,81.1,0.5,2.8,78.8,20.9,22.8,68,15.5,79200,2.33,16380,27.4,3932,35.2
21.0014456089628,1089,334811,276700,6.2,23.7,12.2,50.9,24,4.6,66.1,83.1,5.5,6.7,87.8,37.4,20.8,70.4,21.4,155600,2.49,29918,12,14145,417.7
-6.70837215493145,1091,21027,22539,6.2,24.7,16.3,52.9,51.7,1.7,45.7,87.9,0.3,0.9,79.7,17.9,21.1,73.5,8.3,79000,2.46,18323,22.7,9274,21.5
-1.40321650541424,1093,30776,31214,5.6,21.7,18.3,50.3,3.8,2.1,92.6,87.8,1.5,2.8,71,8.8,23.7,75.8,10.9,74700,2.34,19030,17.8,7116,41.5
13.1191399837044,1095,93019,82231,7,25,14.9,50.7,1.6,12.1,83.9,84.2,7.4,10.2,73.7,14.5,24.4,72.5,9.3,101300,2.62,19875,19.9,15434,164.4
3.28854075224525,1097,412992,399843,6.8,25.1,12.9,52,34.6,2.4,59.1,85.7,3.2,4.8,82.3,19.8,24.1,68.4,17.7,120700,2.61,21548,19.2,12895,335.9
-5.16362440388094,1099,23068,24324,6,25.3,15.7,51.8,41.7,1,54.7,91.3,1.3,2.3,75.4,11.2,23.4,73.8,6,80400,2.51,17652,25.4,9342,22.5
2.61867477965192,1101,229363,223510,6.9,24.5,12,52.4,54.7,3.6,38.4,79.6,3.9,5.4,84.7,30.5,19.7,63.2,22.4,121000,2.46,24622,18.9,14351,292.5
7.58661672549161,1103,119490,111064,6.3,24,14.1,50.7,11.9,7.7,77.5,86.1,5.1,6.7,80.8,19.1,22.9,73.1,13.7,115300,2.5,23090,15,14222,206.3
-10.7073602563022,1105,10591,11861,6.4,24.1,16.7,53,68.7,1.1,29.7,87.3,0.1,0.9,71.5,13.3,29.1,67.8,11.4,61000,2.55,13433,28.8,3181,14.7
-5.74251754260346,1107,19746,20949,6,23.3,16.9,52.3,41.6,1.6,55.8,93.2,0.5,1.5,78.7,11.5,29.9,74.1,10.1,81100,2.46,16278,26.9,5805,22.4
11.1264989022125,1109,32899,29605,5.6,20.3,12.8,52.3,36.6,2.2,57.4,77.9,3.9,5.7,79.4,23.7,19.5,56.3,18.7,93900,2.38,19013,28.6,12189,48.9
2.38159070598749,1111,22913,22380,6,23.9,17,51.5,20.1,2.8,75.4,85.6,1.5,2.9,71.6,12.2,26.9,75.9,4.8,88100,2.59,19844,21.5,7209,39.5
6.41329688881742,1113,52947,49756,7.6,25.5,12.7,52.2,41.8,3.7,52.1,78.9,1.5,3.7,76.9,11.9,22.3,62.3,17.8,93300,2.53,17415,23.3,8526,82.6
29.1171109944086,1115,83593,64742,6.6,23.7,13.1,49.9,8.6,2.1,87.3,85.7,1.9,2.8,79.3,14.5,30.1,82.2,5.5,126500,2.64,22192,10.6,7404,132.3
36.1441242768314,1117,195085,143293,6.7,25.6,10.6,51,10.6,5.9,80.2,85,5.6,7.5,91.5,39.6,29,80.6,11.4,193900,2.59,33978,7.4,13737,248.5
-6.99418840383835,1119,13763,14798,5.5,22.3,15,54.5,75,0.6,24,88.2,0.1,0.5,75.4,12.8,23.8,68.3,14.5,66300,2.77,14460,34.8,4494,15.2
2.4526587069384,1121,82291,80321,6,23.4,14.1,51.3,31.7,2,64.5,84.5,1.9,2.5,75.7,11.9,24.6,73,9.6,87000,2.52,18713,18.4,9113,111.7
0.339963833634727,1123,41616,41475,5.8,22.2,17.3,51.5,26.6,2.5,69.3,84.3,1.5,2.7,76.1,15.7,23.7,73.3,8.9,91300,2.51,22542,17.5,8881,58.1
18.0627748294162,1125,194656,164875,6,21.5,10.8,51.5,29.6,3.1,65,79.7,3.3,5.9,84.7,26.2,20.3,63.3,25.4,148400,2.61,22546,19.7,13664,147.3
-5.21827669593993,1127,67023,70713,5.8,22.5,16.3,51.3,5.9,2,90.4,87.9,1.1,1.4,75.5,9.7,28.8,77.7,6.6,83600,2.6,20516,18.6,13162,84.7
-2.85130132066088,1129,17581,18097,6,25.5,14.7,50.8,24.9,0.9,65.2,91.9,0.5,0.9,78,9.3,32.1,83,2.6,85200,2.58,18824,19.7,4458,16.3
-11.4769020708488,1131,11670,13183,6.1,27,15,52.7,72.5,0.6,26.6,90.2,0.3,0.7,68.5,13.2,25,76.8,6,54200,3.02,12573,38.5,6018,13.1
-1.4450750714487,1133,24484,24843,5.4,21.6,17.7,50.9,0.5,2.6,94.9,84.4,1.5,2,69.3,11.1,25.2,73.8,6.1,83700,2.53,18055,20.6,6853,39.9
16.4627363737486,2013,3141,2697,3.9,11.8,4.9,33.4,7,12.3,13.5,60.7,72.2,80.7,64.1,9.6,4.3,59.2,11.8,121600,2.75,22279,10.4,3309,0.4
1.75663311985361,2016,5561,5465,3.7,14.7,3.5,33.1,6,13.1,31.4,69,54.4,64.1,70.4,9,4.6,36.3,30.9,163400,2.74,29920,12.6,9823,1.3
12.1187323029164,2020,291826,260283,7.5,26,7.2,49.2,5.6,7.6,62.6,77,9.2,16.3,91.9,33,18.2,61.7,35.3,269500,2.66,34678,7.9,16096,171.2
6.29139072847682,2050,17013,16006,10.6,36.5,6.1,47.7,0.4,1.1,10.9,81.9,0.6,68.7,78.4,13.9,7,61.3,13.9,153400,3.88,18584,18.6,5658,0.4
-20.7472178060413,2060,997,1258,4.8,22.6,8.3,45.8,0,2.4,47.7,77.7,0.8,3.6,90.6,15.9,8.7,56.6,13.4,171100,2.56,31260,5,12823,2
-3.53935552033808,2068,1826,1893,6.2,22.5,7.5,45.1,0.5,2.3,88.4,85.4,4.9,4.2,95.7,27.5,12.8,60.7,14.1,174000,2.21,42245,4.6,6120,0.1
-1.52377082486794,2070,4847,4922,9.3,32.9,7.6,47.6,0.2,2.1,17.6,85.1,1.5,35.1,82.6,20.2,9.2,60.7,14.1,199100,3.42,22597,18.1,8612,0.3
17.7945436986963,2090,97581,82840,8.1,25.6,6.5,47.2,4.5,5.8,74.1,74.7,5.1,10.9,92.9,27.1,18,59.8,26.2,206800,2.63,30395,7.6,16072,13.3
4.84949832775921,2100,2508,2392,5.1,19.9,13.8,49.2,0.4,1.9,82.2,90.5,0.6,1.5,94,33.1,12.9,74.5,13.2,205400,2.22,27979,7.2,6991,1.1
-37.4272409778813,2105,2150,3436,5.8,19.7,13.4,45.8,0.4,3.6,46.2,85.7,2.3,14.4,87.6,27.9,9.7,64,8.6,184200,2.02,24932,15.9,23610,0.3
1.83647552994042,2110,31275,30711,6.3,23.5,8.4,49,0.9,5.1,67.4,78.7,6.9,10.9,95.3,34.7,15.3,64,32.2,291600,2.52,34923,6.5,15235,11.6
11.4890020325612,2122,55400,49691,6.3,23.7,11.3,47.6,0.5,3,82.8,81.9,3.3,10,92.1,22.4,18.4,72.7,12,193000,2.35,29127,9.5,12527,3.4
-4.21464108031272,2130,13477,14070,6.7,23.9,10.1,48.7,0.6,4,66.2,77.1,7.2,11.1,92.5,24.2,14.2,59.1,36.7,242500,2.36,29520,8.3,20488,2.8
-2.30719470998347,2150,13592,13913,8.5,28.6,6.7,47,0.7,7.3,52.5,79.1,16.5,23.8,87.7,21.8,13.4,59.2,25.9,182100,2.76,26413,10.9,8274,2.1
50.0202285829878,2170,88995,59322,7.8,28.9,7.9,48.3,1,3.7,82.8,83.8,3.2,5.7,91.8,20.8,33.4,79.2,10.1,212000,2.81,27910,9.9,10362,3.6
3.21879077859939,2180,9492,9196,10.7,34.3,6.4,46.7,0.3,1.2,15.9,81.7,1.1,27.9,83.8,14.9,5.9,56.2,17.4,144600,3.31,20549,24.6,6785,0.4
27.6912660798917,2185,9430,7385,7.9,23.9,4.3,37.4,1,2.6,32.4,82.9,3.4,48.6,73.8,13.5,5.4,48.3,24.9,135800,4.47,22109,11.8,10574,0.1
4.37014428412874,2188,7523,7208,11.7,35.3,6,46.4,0.5,0.8,11,80.2,1.2,35.1,79.6,12.5,7.4,53.7,19.4,129000,3.88,21278,19.7,5599,0.2
-42.9233991621783,2195,3815,6684,6,23.4,11.5,48,0.4,3.4,69.4,86.7,2.5,6.6,95.5,27.4,8.5,76.7,9.5,195300,2.41,30971,9.7,17606,1.2
-9.55092743247641,2198,5559,6146,7.5,25.6,10.1,44.8,0.3,2.3,49.6,79.5,2.4,5,88.4,17.8,14.2,69,9.7,152100,2.29,24193,14,7514,1.4
0.520656479909443,2220,8881,8835,7,23.5,11.4,49.5,0.5,4.9,63.5,80.3,7.3,11.6,92.3,29.2,10.1,55.9,24.4,309800,2.36,29982,7,10875,3.1
13.8483965014577,2240,7029,6174,6.9,26.3,9.4,44.3,1.1,3.3,78.7,74.9,5.1,15.7,91.1,20,16.6,65.2,17.3,168700,2.64,27657,10,6906,0.3
-5.48307994114762,2261,9636,10195,6.4,24.4,8.3,46.6,0.5,3.6,72.1,75.2,4.9,7.6,92.6,23.7,14.3,71.8,17.6,165800,2.42,30703,6.9,8422,0.3
6.13261240751282,2270,7459,7028,12.1,41.6,5.4,47.1,0,0.1,2.7,86.5,0.1,58.1,73.6,7.7,5.4,64.8,4.1,80300,4.28,11269,31.4,5211,0.4
-14.7000457945352,2290,5588,6551,7.9,27.8,10.2,45.8,0.2,1.2,21.8,82.7,0.9,19.1,79.5,11.5,7.7,69.1,2.9,99500,2.61,18614,23.6,7151,0
3.01773187560319,4001,71518,69423,8.3,31.7,11.6,50.1,0.2,5.8,20.4,90.6,1.6,61.5,72.1,10.3,26.4,76.3,5.2,80900,3.61,12294,34.4,3997,6.4
11.5417604348011,4003,131346,117755,6.5,23,17.3,49,4.2,32.4,58.5,79.7,12.3,27,84.8,21.4,19.5,69,12.2,154900,2.51,23010,15.7,10284,21.3
15.5613823933975,4005,134421,116320,6.7,23.6,8.9,50.4,1.2,13.5,55.2,79.6,5.7,25.2,87,31.1,18,61.2,18.9,257700,2.73,22632,18.6,13273,7.2
4.40635044316744,4007,53597,51335,5.7,21.4,23.2,50.3,0.4,17.9,65.9,87.3,3.1,16.9,83.4,15,18.9,78.3,4.8,156100,2.65,19600,18.9,10545,11.3
11.1409716623369,4009,37220,33489,8.6,28.4,11.4,46.3,1.8,30.4,52.3,84.4,5,22.3,81.8,13.4,19.6,72,7.7,119500,2.99,15644,20,11211,8.1
-1.28700128700129,4011,8437,8547,7.8,29.2,12,47.9,1.1,47.9,48.1,82.8,4.4,23.6,89.8,13.4,14.8,46.9,6.1,65800,2.5,21281,13.5,4587,4.6
3.92594471214811,4012,20489,19715,5,18,32.6,48.5,0.6,23.5,62.7,84.5,12.2,17.7,76.9,9,14.6,75.4,3.6,1e+05,1.98,21165,20.3,19588,4.6
24.2490842729308,4013,3817117,3072149,7.4,26.4,12.1,50.5,5,29.6,58.7,79.4,15.9,26.5,85.6,29,25.7,66.3,25.1,238600,2.68,27816,13.9,15153,414.9
29.1255998761546,4015,200186,155032,5.5,20.6,23.3,50,0.9,14.8,79.6,79.3,6.4,10.7,83,12,19.4,71.5,9.8,170600,2.44,21523,16.1,14489,15
10.2380219554735,4017,107449,97470,8.1,29.8,13.3,50,0.9,10.8,43.9,85.7,2.6,36.6,80.5,14.4,21.8,72.5,7,134300,2.97,16745,24.4,11148,10.8
16.1798692971582,4019,980263,843746,6.4,23,15.4,50.9,3.5,34.6,55.3,78.8,13.2,28.2,86.8,29.6,23.9,64.6,22.9,198300,2.46,25093,16.4,11969,106.7
109.078213067597,4021,375770,179727,8,26.5,13.9,47.5,4.6,28.5,58.7,77.7,10.5,23.3,83.7,17.9,32.4,77.7,6.3,164000,2.56,21716,13.5,6718,70
23.5507151976238,4023,47420,38381,7.8,30.7,13.1,52.4,0.4,82.8,16,91.1,33.5,81.1,70.9,17.3,19,71,17.6,148200,3.79,16209,25.2,15958,38.3
25.9770650142971,4025,211033,167517,5,19.1,24.1,51,0.6,13.6,82,81.8,7.2,11.2,89.4,23.7,21.7,72.5,11,231000,2.3,25527,13.7,12714,26
22.3244972691938,4027,195751,160026,7.7,28.2,15.7,49.9,2,59.7,35.3,81.7,25.6,50.2,71.6,13.3,19.1,69.6,12.5,142400,2.65,18418,20.9,10596,35.5
-8.33775121692612,5001,19019,20749,6,23.3,16.4,51.5,24.5,2.7,71,81,1.6,3,79.4,14.3,14.7,64.4,10.9,78900,2.28,22142,18.9,14825,19.2
-9.73191788177951,5003,21853,24209,6.5,24.4,16.2,51.5,25.8,4.9,68.2,85.3,2,4,81.1,13.7,18.6,72.4,8.5,62100,2.46,18779,18.5,7673,23.6
8.14619913510133,5005,41513,38386,4.9,18.1,28.1,51.8,0.2,1.7,96,81.8,1.9,2.7,83.7,14.5,17.1,76.6,10.1,118400,2.17,21513,15.5,11633,74.9
44.2831440751992,5007,221339,153406,8.1,27.9,12.2,50.7,1.3,15.5,76.6,80.9,9.5,14.8,84.2,25.9,20.8,70.1,15.6,155000,2.63,25186,11.7,11332,261.2
8.70448921880522,5009,36903,33948,6.1,23.3,18.1,51,0.2,1.8,95.2,83.3,1,2.3,83.8,14.5,19.7,72.7,12.1,105700,2.53,20507,16,12738,62.5
-8.66666666666667,5011,11508,12600,6.7,23.3,17.7,51.5,27.6,13.2,58,85,6.8,11.2,69.4,12.7,17.2,70.2,8,64800,2.24,18845,30.4,5978,17.7
-6.54596100278552,5013,5368,5744,4.9,20.5,17.2,49.3,22.2,2.8,73.4,90.7,1.4,3.9,77.8,6.6,26.1,82.1,2.4,51700,2.6,16457,11.9,3263,8.5
8.2383562724297,5015,27446,25357,5.9,22.5,18.7,50.7,0.4,12.7,84,83.8,7.3,11.4,79,17.4,19.1,69.5,11.6,119500,2.28,19743,17.2,9728,43.6
-16.4128355882978,5017,11800,14117,6.9,23.1,18.2,50.9,54.1,4.6,40.3,87.3,2.3,4.3,69.3,12.6,21,69.6,10,50700,2.4,14668,34.1,5446,18.3
-2.34010022933832,5019,22995,23546,5.4,19.5,14.8,52.3,23.5,4,70.4,78.9,2.2,4.2,83.1,21.7,21,67.6,15.9,78900,2.31,17186,23.8,10461,26.6
-8.66602305639161,5021,16083,17609,5.6,22.3,20,51.1,0.3,1.3,96.9,87.1,0.4,1.2,73.1,8.8,22.6,74,8.1,59800,2.4,18892,18.7,8255,25.2
8.00133078266656,5023,25970,24046,5.3,19.9,23.6,50.8,0.3,2,95.9,82.6,1.4,2.2,79.1,13.8,23.9,77.9,5.7,110000,2.31,20371,17.4,11169,46.9
1.37673550344184,5025,8689,8571,6.8,24.8,16.3,50.7,12.2,1.7,85.1,92.9,0.3,0.8,85.9,14,26.2,78,3.1,66900,2.65,19481,15.1,1404,14.5
-4.10498769675429,5027,24552,25603,6,22.8,16,52.3,36.9,2.2,59.2,83.9,2.3,3.2,83.7,20.8,17.9,69.8,11.4,76700,2.35,20110,22.9,8143,32.1
4.60759244689222,5029,21273,20336,6.6,24.2,16.9,50.5,11.2,3.6,82.4,87.3,1.9,2.7,82.7,13.8,23.8,75.8,6.3,82100,2.55,19909,17,13074,38.5
17.4015192092321,5031,96443,82148,7.3,25,12.2,51.2,13.1,4.4,79.6,77,3.2,4.7,83.3,23.1,17.8,61.2,20,107300,2.52,21728,19.4,15768,136.4
16.3408267132421,5033,61948,53247,6.9,26.4,13.3,50.7,1.2,6.1,86.8,82.5,3.8,5.9,77.4,13,21.1,73,10.8,98800,2.65,18715,18.3,7666,104.4
0.0707741910116688,5035,50902,50866,8,29.1,10.8,52.5,51.2,2,45.2,76.5,1,2.4,76.3,14.2,21.1,58.2,23.1,101100,2.67,18241,27.4,14399,83.5
-8.48099969271741,5037,17870,19526,6.3,25.1,15.4,51.8,22.2,1.5,74.7,86.1,0.2,1,76.1,12.6,23.1,70.7,11.3,75800,2.69,18248,16.7,9970,29
-11.8783930510315,5039,8116,9210,5.8,23.6,18.2,51,41.9,2.3,54.1,84.5,0.2,1.6,80.3,12.4,19.6,70.5,7.9,59200,2.39,16457,17.7,9727,12.2
-15.2076135845121,5041,13008,15341,7.6,26,15.1,53.1,47.8,4.4,46.8,83.7,1.9,3.1,72.5,13.6,21.4,59.1,17.2,55500,2.52,17582,27.6,8691,16.9
-1.14297922341505,5043,18509,18723,6.3,23.6,14.8,51.5,27.8,2.5,68,83.8,1.7,3.7,80.6,19.4,22.2,67.5,7.7,73100,2.39,18903,23.6,10645,22.3
31.6494989187807,5045,113237,86014,7,24.5,10,50.9,10.2,3.9,82.4,77.5,3.6,4.7,87.4,26.4,24.8,66.4,17.3,127500,2.53,22811,15.3,11730,174.8
1.99200945360418,5047,18125,17771,6.6,24.4,16.6,50.5,0.7,2,93.8,88.4,1,2.8,82.6,11.6,24.6,78.8,4.7,81400,2.69,18010,17.8,7748,29.8
5.17952241882838,5049,12245,11642,5.6,21.2,22.4,51,0.3,0.8,96.4,90.3,0.4,0.6,79.4,9.7,24,79.6,3.4,78200,2.47,17067,20.3,3598,19.8
9.0339283281101,5051,96024,88068,5.6,20.9,20.9,51.5,7.9,4.8,84,82.1,4.3,6.7,85,20.2,22.3,70.1,16.7,126900,2.33,22786,17.7,14958,141.7
8.43658892128281,5053,17853,16464,6.1,24.2,14.5,50.3,2.2,2.2,94.1,84.7,1.3,2.2,84.8,14.7,28.6,80.3,2.4,96600,2.58,22229,8.8,6148,28.3
12.748118185958,5055,42090,37331,6.8,25.2,14.3,51,0.6,2.1,95.4,83.3,1,2.1,80.9,12,19.6,65.7,13.5,88900,2.52,18225,16.4,9257,72.9
-4.14635180395981,5057,22609,23587,7.8,26,15,51.8,29.4,12,56.5,83.9,5.7,10.7,80.7,14.7,19.8,68.4,10.2,68100,2.49,17177,23.2,8807,31.1
8.46703785457781,5059,32923,30353,6.3,23.3,15.7,48.9,10.8,2.8,84.1,86.6,0.8,2.2,81.3,12.5,26.8,76,4.4,77400,2.64,18248,12.3,6511,53.5
-3.57342657342657,5061,13789,14300,7.4,26.3,15.3,51.7,20.6,9.8,67.4,86,5.8,9.3,78.1,12.4,18.5,69.6,8.2,71800,2.64,18216,22,11402,23.4
7.05167528408261,5063,36647,34233,6.7,24,15.6,51,2,5.8,89.8,81.5,4,4.8,82.4,14.7,20.9,72.8,7.3,82400,2.37,19912,19.3,11132,48
3.37383953505925,5065,13696,13249,4.7,19.2,23.6,48.5,1.3,1.5,95,85.6,1.8,2,81.6,12.3,24,79.7,4.5,76900,2.26,17737,18.7,8035,23.6
-2.2858073623629,5067,17997,18418,5.6,20.7,15.9,50.4,16.7,2.4,78.8,77.3,0.9,1.6,72.3,7,18.6,69.8,15,60100,2.48,14874,25.9,11203,28.4
-8.11955670518997,5069,77435,84278,6.4,23.8,13.2,50.8,55.1,1.6,41.4,81.5,1.5,3.2,81.6,16.5,21.3,64.4,14.8,76200,2.63,18681,22.6,10922,88.9
12.1109696677056,5071,25540,22781,7,24.8,14.7,50.4,1.4,12.1,83.5,86.6,6.7,12.9,76.4,14.8,19.5,68.8,11.3,83400,2.65,16937,19.4,7942,38.7
-10.6788176188807,5073,7645,8559,5.9,23.2,19.4,51.7,37.2,1.7,59.9,88.8,0.5,1,77.9,13.3,23,79.2,5.4,49600,2.77,17699,19.9,4257,14.5
